date,numbers,par
2019/11/1,2291,0.57%
2019/11/2,2002,0.50%
2019/11/3,1953,0.48%
2019/11/4,2623,0.65%
2019/11/5,4762,1.18%
2019/11/6,6478,1.61%
2019/11/7,5156,1.28%
2019/11/8,3055,0.76%
2019/11/9,4053,1.01%
2019/11/10,3880,0.96%
2019/11/11,3080,0.76%
2019/11/12,2872,0.71%
2019/11/13,3130,0.78%
2019/11/14,2529,0.63%
2019/11/15,2421,0.60%
2019/11/16,2485,0.62%
2019/11/17,2666,0.66%
2019/11/18,2109,0.52%
2019/11/19,2124,0.53%
2019/11/20,2991,0.74%
2019/11/21,2948,0.73%
2019/11/22,4431,1.10%
2019/11/23,5526,1.37%
2019/11/24,4927,1.22%
2019/11/25,4247,1.05%
2019/11/26,5704,1.41%
2019/11/27,3722,0.92%
2019/11/28,2554,0.63%
2019/11/29,2441,0.61%
2019/11/30,1905,0.47%
2019/12/1,2129,0.53%
2019/12/2,4281,1.06%
2019/12/3,3065,0.76%
2019/12/4,2758,0.68%
2019/12/5,2794,0.69%
2019/12/6,4128,1.02%
2019/12/7,7678,1.90%
2019/12/8,8062,2.00%
2019/12/9,13232,3.28%
2019/12/10,16825,4.17%
2019/12/11,7669,1.90%
2019/12/12,4880,1.21%
2019/12/13,4607,1.14%
2019/12/14,4670,1.16%
2019/12/15,4547,1.13%
2019/12/16,5269,1.31%
2019/12/17,5307,1.32%
2019/12/18,3368,0.84%
2019/12/19,3223,0.80%
2019/12/20,4046,1.00%
2019/12/21,3291,0.82%
2019/12/22,5673,1.41%
2019/12/23,8850,2.20%
2019/12/24,6315,1.57%
2019/12/25,5131,1.27%
2019/12/26,4565,1.13%
2019/12/27,3267,0.81%
2019/12/28,3615,0.90%
2019/12/29,4892,1.21%
2019/12/30,4347,1.08%
2019/12/31,3221,0.80%
2020/1/1,3622,0.90%
2020/1/2,2937,0.73%
2020/1/3,4054,1.01%
2020/1/4,11453,2.84%
2020/1/5,5269,1.31%
2020/1/6,6250,1.55%
2020/1/7,3919,0.97%
2020/1/8,3650,0.91%
2020/1/9,4082,1.01%
2020/1/10,3944,0.98%
2020/1/11,2997,0.74%
2020/1/12,3567,0.88%
2020/1/13,6514,1.62%
2020/1/14,7176,1.78%
2020/1/15,5537,1.37%
2020/1/16,4886,1.21%
2020/1/17,3346,0.83%
2020/1/18,4883,1.21%
2020/1/19,3368,0.84%
2020/1/20,4300,1.07%
2020/1/21,2845,0.71%
2020/1/22,5814,1.44%
2020/1/23,5026,1.25%
2020/1/24,2908,0.72%
2020/1/25,5039,1.25%
2020/1/26,2834,0.70%
2020/1/27,3553,0.88%
2020/1/28,5142,1.28%
2020/1/29,3471,0.86%
2020/1/30,4033,1.00%
